TCO
SIG
KNOP
BCS
SCX
HTGZ
GCV
VEEV
STC
MIE
BURL
HBM
WPT
SPXC
FDO
ZBK
FL
AWI
CSS
ACRE
SPH
KCC
IHD
HES
DDD
FCB
AV
PBR
HUSI
CAA
NMBL
UAM
LMT
NM
MT
COT
GGE
SHO
ARE
BEP
BKHU
CTQ
HTH
MGR
RBS
DDE
BF
IPHI
VMI
ALL
NRF
PMF
FFA
DPM
WEA
LYG
OFC
APB
KOF
BITA
CEO
IDA
PCM
SAN
CNXC
LNC
HGH
CLNY
PBB
AM
GRC
OCIP
RENX
HIVE
WRK
NXQ
RE
RAD
TDF
AU
CUBE
MSZ
EDI
TKC
DDC
NQ
FTI
ATW
APF
TXTR
GPI
UDR
NHF
MFCB
WBC
RALY
PZB
SRE
WWE
GPT
HII
PPT
HCP
SU
GCH
PSXP
STAY
FLC
WHG
AIR
FNV
SCE
HCN
INZ
KEY
OMN
HHC
REG
B
AEO
OMF
BDJ
AZZ
NSL
MMS
BML
CFR
ISD
GPS
CYNI
DFT
PRTY
NOA
DL
HES
RBS
GGZ
PBF
SAQ
PSA
THC
GS
CVS
IHG
SB
MSA
AXP
SVU
CVB
XCO
MLP
MON
PSA
AUO
PE
TNP
PFS
SF
CRH
EEP
DTZ
VC
IID
JHS
RT
DDF
PZC
NXR
EL
RVT
ECL
BPK
HEP
OMAM
BANC
PHD
AIV
SNX
RQI
OKS
IMS
BQH
TVE
FOE
PGRE
CNHI
ZTS
SGM
AVX
CAT
GDF
EQC
DCO
BOOT
BXMX
HPI
ONE
MBT
RWT
KS
BAC
DSW
KCG
BAC
EME
BOX
JOE
ENZ
PEI
AJRD
ODC
JPM
ASGN
SUN
IFF
NQU
DD
PEB
SCE
BTU
JHA
ENR
GOF
MYN
OII
SRG
COG
NPV
NADL
WLH
FCH
OZM
HTD
JPM
ASB
ECA
BBVA
PSX
ACCO
SXI
JPM
MHD
EMN
AGO
JNS
PRE
SSW
BTT
CFC
SMFG
UMH
ARL
AXE
CAS
CHT
STO
SPG
EGF
ERA
CVEO
PFG
NNC
INN
GCAP
EE
ACN
NCS
EAE
AFSI
CBO
NSM
BAC
BRFS
VTRB
C
DNR
BHE
APH
HF
SWJ
CHGG
KEP
BML
RIOM
CNL
IQI
IRS
NUS
HSC
PMO
HOV
ATR
GAB
EGY
BDC
RBS
DFS
WFT
GS
TLP
PSO
USB
MFL
FRC
ENVA
EGL
UAL
RZA
LPX
SMG
CGA
PNW
EDE
DDR
BSBR
IGI
LDOS
I
DSU
DM
TPVG
VSH
FR
SNN
MPW
GBAB
KIM
HHY
BSM
AHT
BBG
GEF
AVG
CRC
HYH
ABT
PNC
AIB
VNO
WNS
OSB
GPK
ZEN
BCE
JHI
HGT
AXS
TSS
BIT
GSK
HMN
WFC
VLT
WRE
DX
TY
IAE
KMB
LDR
SKM
NWHM
PTY
JMEI
DFP
PFSI
ANH
SWC
BORN
BGG
TEI
DANG
GWB
ATEN
GEH
AET
GPX
DEX
MOD
RDN
ONDK
NCB
IPI
